,Nr,Gebiet,gehört zu,Christlich Demokratische Union Deutschlands,Sozialdemokratische Partei Deutschlands,Alternative für Deutschland,Freie Demokratische Partei,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,Christlich-Soziale Union in Bayern e.V.,FREIE WÄHLER,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",PARTEI MENSCH UMWELT TIERSCHUTZ,Nationaldemokratische Partei Deutschlands,Piratenpartei Deutschland,Ökologisch-Demokratische Partei,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",DEMOKRATIE IN BEWEGUNG,Bayernpartei,"Allianz für Menschenrechte, Tier- und Naturschutz",Marxistisch-Leninistische Partei Deutschlands,Partei für Gesundheitsforschung,Menschliche Welt - für das Wohl und Glücklichsein aller,Deutsche Kommunistische Partei,Die Grauen – Für alle Generationen,Bürgerrechtsbewegung Solidarität,Partei der Humanisten,Gartenpartei,Die Urbane. Eine HipHop Partei,"Sozialistische Gleichheitspartei, Vierte Internationale",Basisdemokratische Partei Deutschland,Bündnis C - Christen für Deutschland,Bürgerbewegung für Fortschritt und Wandel,DER DRITTE WEG,diePinken/BÜNDNIS21,Europäische Partei LIEBE,Liberal-Konservative Reformer,Partei des Fortschritts,">> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –",Südschleswigscher Wählerverband,Team Todenhöfer – Die Gerechtigkeitspartei,UNABHÄNGIGE für bürgernahe Demokratie,Volt Deutschland,Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen,"bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken",DIE SONSTIGEN - X,Familien-Partei Deutschlands,Graue Panther,Klimaliste Baden-Württemberg,Thüringer Heimatpartei,Übrige
2,1.0,Flensburg – Schleswig,1,41721,38927,9768,12299,6544,50231,,2324,,,,,,,,,,,,,,,,,,227,,3357,,,,,,157,,,13020,,,,,,,,,,,
3,2.0,Nordfriesland – Dithmarschen Nord,1,43745,40026,8274,13958,4060,20611,,1510,,,,,,,,,,,,,,,,,,,,2254,,,,,,202,,,9410,,,,,,,,,,,
4,3.0,Steinburg – Dithmarschen Süd,1,39431,39379,10429,19315,4339,16686,,2566,,,,,,581,,,,,,,,,,,,,,2040,,,,,,214,,,,,,,,,,,,,,
5,4.0,Rendsburg-Eckernförde,1,47688,49474,10200,12903,4416,23832,,1651,2150,,,,,,,,,,,,,,,,,,,2502,,,,,,,,,5834,,,,,,,,,,,
6,5.0,Kiel,1,28416,45709,7147,11445,7275,43532,,1144,2944,,,,,,,,,76,,,110,,,,,202,,2009,,,,,,,,,4141,,,666,,,,,,,,
7,6.0,Plön – Neumünster,1,36870,41497,9404,12420,3718,20740,,2386,2196,,,,,,,,,,,,,,,,,,,2508,,,,,,223,,,,,,,,,,,,,,
8,7.0,Pinneberg,1,49710,59298,12141,20737,5659,32109,,2380,2352,,,,,,,,,,,,,,,,,,,2895,,,,,,166,,,2622,,,,,,,,,,,
9,8.0,Segeberg – Stormarn-Mitte,1,55265,63369,14040,20575,6202,27109,,4670,3299,,,,,,,,,,,,,,,,,,,3389,,,,,,,,,,,,,,,,,,,,
10,9.0,Ostholstein – Stormarn-Nord,1,42991,47714,9647,13289,4122,19025,,2582,,,,,,,,,,,,,,,,,,,,2032,,,,,,,,,,,,,,,,,,,,389
11,10.0,Herzogtum Lauenburg – Stormarn-Süd,1,51872,60593,14053,20550,5168,33949,,3517,2956,,,,,,,,,,,,125,,,,,,,2544,,,,,,,,,,,,,,,,,,,,
