,Nr,Gebiet,gehört zu,Christlich Demokratische Union Deutschlands,Sozialdemokratische Partei Deutschlands,Alternative für Deutschland,Freie Demokratische Partei,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,Christlich-Soziale Union in Bayern e.V.,FREIE WÄHLER,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",PARTEI MENSCH UMWELT TIERSCHUTZ,Nationaldemokratische Partei Deutschlands,Piratenpartei Deutschland,Ökologisch-Demokratische Partei,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",DEMOKRATIE IN BEWEGUNG,Bayernpartei,"Allianz für Menschenrechte, Tier- und Naturschutz",Marxistisch-Leninistische Partei Deutschlands,Partei für Gesundheitsforschung,Menschliche Welt - für das Wohl und Glücklichsein aller,Deutsche Kommunistische Partei,Die Grauen – Für alle Generationen,Bürgerrechtsbewegung Solidarität,Partei der Humanisten,Gartenpartei,Die Urbane. Eine HipHop Partei,"Sozialistische Gleichheitspartei, Vierte Internationale",Basisdemokratische Partei Deutschland,Bündnis C - Christen für Deutschland,Bürgerbewegung für Fortschritt und Wandel,DER DRITTE WEG,diePinken/BÜNDNIS21,Europäische Partei LIEBE,Liberal-Konservative Reformer,Partei des Fortschritts,">> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –",Südschleswigscher Wählerverband,Team Todenhöfer – Die Gerechtigkeitspartei,UNABHÄNGIGE für bürgernahe Demokratie,Volt Deutschland,Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen,"bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken",DIE SONSTIGEN - X,Familien-Partei Deutschlands,Graue Panther,Klimaliste Baden-Württemberg,Thüringer Heimatpartei,Übrige
13,1,Schleswig-Holstein,99,388399,494055,119566,220039,64238,322763,,17043,17870,20653,2034,,1539,1763,,,,322,,,516,,,1763,,1029,,23407,,,,,,715,,,55578,5305,,4157,,,,,,,,
20,13,Mecklenburg-Vorpommern,99,160103,267368,165342,75555,101735,71956,,13344,7900,20582,6400,4259,1189,,,,,709,,,754,,,1277,,,,16336,,,,,,,,,,2146,,1904,,,,,,,,
27,2,Hamburg,99,155220,298342,50537,114602,67578,250532,,5601,10147,12325,648,4377,2016,1219,,,,348,,,532,,,1203,,1341,,13961,,,,386,,248,,,,8952,,5429,,,,,,,,
58,3,Niedersachsen,99,1093579,1498500,336434,474638,148657,726613,,37214,40158,57931,4379,16955,3484,3283,,,,808,,,1020,,,3806,,2625,,46369,,,,,,1306,,,,13565,,11897,,,,,,,,
61,4,Bremen,99,56499,103224,22575,30481,25352,68427,,2911,3909,4517,291,,407,515,,,,160,,386,,,,589,,,,3461,,,,,,,,,,3014,,1322,,,,,,,,
72,12,Brandenburg,99,233891,450573,277412,142426,129762,137472,,40509,19199,39823,4868,6340,2835,,,,,842,,,1978,,,1892,,,,23062,,,,,,,,,,3353,9113,4293,,,,,,,,
82,15,Sachsen-Anhalt,99,252286,305085,235492,114024,115330,78701,,22509,9763,14483,3002,4067,846,,,,13672,1042,,,,,,1415,7611,1302,,19213,,,,,,,,,,,,2097,,,,,,,,
95,11,Berlin,99,289691,428289,153694,165937,209052,408533,,17070,28338,45282,1980,6916,2798,1299,,,,729,5150,,2155,19443,727,3422,,2585,446,,,,,,,1232,,,,20168,,11645,,,,,,,,
160,5,Nordrhein-Westfalen,99,2566719,2880226,717510,1130154,366947,1587067,,64990,108504,136195,8956,36789,8052,6628,,,,3476,11673,,2556,,,7685,,4729,971,99217,10128,,,,12967,2298,3228,9189,,65137,,36039,,,,,,,,
177,14,Sachsen,99,422879,474804,607044,271166,230012,212320,,56654,31905,47939,7469,10433,6056,2464,,,,1562,12052,,1725,,,4003,,,,38090,7129,,4288,,,,,,,6229,,6674,,,,,,,,
200,6,Hessen,99,753512,910035,290978,421621,142585,521411,,56155,29569,49047,4511,13152,3683,3128,,,,906,4891,,1294,,,3551,,,,43106,4412,,,1166,,932,,,,21897,,19268,,,,,,,,
209,16,Thüringen,99,213414,296446,303233,114283,144693,83220,,27151,16013,18973,4103,6291,2456,1052,,,,2570,,3400,,,,1357,,,,20189,,,,,,,,,,2501,,3566,,,,,,,,
225,7,Rheinland-Pfalz,99,576533,685534,215205,272451,76123,293135,,84396,20844,35759,2779,9530,5661,2202,1796,,,469,,,,,,2284,,,,28719,,,,,,1044,,,,8578,,11110,,,,,,,,
272,9,Bayern,99,,1361242,679915,798591,210838,1067830,2402827,566880,53876,80911,5743,25865,51124,8331,,32790,,1251,8524,,1288,,,6689,,4200,,131988,5574,,3544,,,1806,,,,24629,13623,21434,,,,,,,,
311,8,Baden-Württemberg,99,1477612,1287934,571336,908039,196874,1022226,,103611,53597,74702,6036,21530,17637,,5388,,,2248,7059,,1107,,,6775,,,,114919,12625,7491,,1936,,1578,,,,26780,,20620,,,,,,,,
316,10,Saarland,99,135134,213777,57629,65945,41130,,,11746,9978,16231,1375,3419,2531,,,,,357,,,,,,,,,,8116,,,,,,,,,,2281,,4019,,,,,,,,
